iter	Passed	Remaining
661	2927	41288
662	2931	41283
663	2935	41278
664	2940	41274
665	2944	41268
666	2949	41266
667	2953	41265
668	2958	41259
669	2962	41257
670	2966	41247
671	2970	41238
672	2974	41228
673	2979	41220
674	2983	41212
675	2987	41208
676	2991	41198
677	2996	41196
678	3000	41183
679	3004	41179
680	3008	41167
681	3012	41157
682	3016	41149
683	3021	41145
684	3025	41136
685	3029	41128
686	3032	41115
687	3036	41102
688	3040	41094
689	3045	41088
690	3049	41079
691	3053	41072
692	3055	41037
693	3059	41028
694	3063	41019
695	3068	41014
696	3072	41007
697	3076	41001
698	3081	41001
699	3085	40988
700	3089	40985
701	3093	40979
702	3097	40968
703	3102	40960
704	3106	40952
705	3110	40942
706	3115	40946
707	3119	40942
708	3124	40940
709	3128	40934
710	3132	40928
711	3136	40921
712	3140	40910
713	3145	40904
714	3149	40898
715	3153	40895
716	3158	40886
717	3162	40880
718	3166	40873
719	3170	40861
720	3174	40852
721	3178	40841
722	3181	40820
723	3185	40810
724	3189	40804
725	3194	40805
726	3199	40813
727	3205	40821
728	3210	40824
729	3215	40835
730	3220	40840
731	3225	40836
732	3229	40833
733	3234	40835
734	3240	40845
735	3245	40849
736	3250	40856
737	3255	40852
738	3259	40844
739	3263	40842
740	3268	40836
741	3273	40839
742	3277	40836
743	3282	40836
744	3288	40857
745	3294	40867
746	3298	40863
747	3304	40873
748	3310	40891
749	3316	40899
750	3320	40897
751	3326	40905
752	3331	40915
753	3336	40919
754	3342	40926
755	3347	40933
756	3351	40924
757	3357	40933
758	3363	40947
759	3369	40970
760	3375	40984
761	3380	40981
762	3385	40984
763	3390	40983
764	3394	40981
765	3400	40991
766	3405	40998
767	3410	40998
768	3415	40998
769	3420	40998
770	3425	41001
771	3430	41011
772	3436	41019
773	3442	41031
774	3447	41030
775	3451	41029
776	3456	41027
777	3461	41025
778	3466	41032
779	3471	41030
780	3476	41034
781	3481	41036
782	3485	41031
783	3489	41023
784	3493	41008
785	3497	40999
786	3501	40993
787	3506	40987
788	3511	40988
789	3515	40986
790	3519	40980
791	3524	40982
792	3529	40973
793	3532	40962
794	3536	40949
795	3541	40947
796	3545	40935
797	3548	40924
798	3552	40913
799	3556	40904
800	3561	40897
801	3565	40896
802	3570	40888
803	3573	40878
804	3577	40869
805	3582	40860
806	3586	40852
807	3590	40844
808	3594	40832
809	3598	40824
810	3602	40818
811	3606	40806
812	3610	40798
813	3614	40788
814	3618	40777
815	3622	40766
816	3626	40757
817	3630	40748
818	3633	40736
819	3637	40723
820	3641	40712
821	3645	40702
822	3649	40694
823	3653	40682
824	3657	40673
825	3661	40667
826	3665	40661
827	3670	40654
828	3673	40644
829	3678	40641
830	3682	40632
831	3686	40624
832	3691	40622
833	3695	40611
834	3699	40601
835	3703	40591
836	3707	40584
837	3711	40574
838	3715	40564
839	3719	40558
840	3723	40547
841	3726	40536
842	3730	40524
843	3734	40512
844	3738	40502
845	3742	40495
846	3746	40484
847	3750	40474
848	3754	40469
849	3758	40461
850	3763	40464
851	3769	40475
852	3774	40472
853	3777	40460
854	3781	40449
855	3786	40444
856	3790	40441
857	3796	40450
858	3800	40441
859	3804	40432
860	3808	40424
861	3812	40416
862	3816	40402
863	3820	40395
864	3825	40398
865	3829	40390
866	3833	40383
867	3837	40375
868	3841	40361
869	3845	40354
870	3849	40345
871	3854	40344
872	3858	40337
873	3862	40334
874	3867	40331
875	3871	40320
876	3875	40312
877	3879	40306
878	3884	40310
879	3889	40309
880	3894	40308
881	3898	40300
882	3903	40298
883	3907	40291
884	3911	40285
885	3916	40289
886	3920	40283
887	3925	40278
888	3930	40277
889	3934	40274
890	3939	40277
891	3945	40290
892	3950	40285
893	3954	40277
894	3959	40277
895	3963	40272
896	3968	40270
897	3972	40263
898	3976	40260
899	3981	40256
900	3985	40250
901	3990	40246
902	3994	40242
903	3998	40234
904	4002	40224
905	4007	40220
906	4010	40211
907	4015	40207
908	4020	40209
909	4024	40202
910	4028	40196
911	4033	40193
912	4037	40187
913	4042	40182
914	4047	40185
915	4051	40183
916	4056	40182
917	4061	40180
918	4067	40190
919	4071	40188
920	4076	40186
921	4081	40188
922	4086	40186
923	4090	40179
924	4095	40177
925	4100	40178
926	4104	40177
927	4109	40175
928	4113	40169
929	4118	40163
930	4122	40157
931	4127	40163
932	4132	40164
933	4139	40177
934	4144	40182
935	4149	40185
936	4155	40193
937	4161	40204
938	4168	40225
939	4175	40242
940	4181	40258
941	4188	40274
942	4194	40289
943	4200	40297
944	4206	40304
945	4210	40297
946	4214	40289
947	4218	40283
948	4223	40279
949	4228	40280
950	4232	40271
951	4236	40262
952	4240	40254
953	4244	40247
954	4248	40240
955	4252	40231
956	4256	40221
957	4260	40212
958	4264	40201
959	4268	40194
960	4272	40190
961	4277	40184
962	4281	40178
963	4285	40172
964	4289	40165
965	4293	40155
966	4298	40150
967	4302	40148
968	4307	40141
969	4311	40136
970	4316	40134
971	4320	40130
972	4324	40121
973	4328	40114
974	4333	40112
975	4337	40101
976	4341	40098
977	4346	40092
978	4350	40086
979	4354	40077
980	4358	40074
981	4363	40066
982	4367	40062
983	4372	40061
984	4376	40055
985	4380	40049
986	4385	40042
987	4389	40037
988	4393	40029
989	4397	40022
990	4402	40019
991	4406	40010
